"BehaviorSpace results (NetLogo 6.0.4)"
"as4.nlogo"
"experiment"
"01/06/2019 22:49:18:086 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","antenna-range","alpha","sensing-range","start_msg_tick","total-nodes","flooding","[step]","msg_reached_goal","number_of_msg_send","number_of_received"
"401","7","1.15","1.2","15","150","true","23","1","84","107"
"402","7","1.15","1.2","15","150","true","22","1","88","123"
"406","7","1.15","1.2","15","150","true","15","1","1","12"
"405","7","1.15","1.2","15","150","true","20","1","50","74"
"404","7","1.15","1.2","15","150","true","19","0","8","7"
"403","7","1.15","1.2","15","150","true","19","1","48","81"
"407","7","1.15","1.2","15","150","true","18","1","29","48"
"408","7","1.15","1.2","15","150","true","24","1","107","130"
"409","7","1.15","1.2","15","150","true","16","1","9","20"
"410","7","1.15","1.2","15","150","true","20","1","57","89"
"411","7","1.15","1.2","15","150","true","23","1","104","142"
"412","7","1.15","1.2","15","150","true","16","1","10","20"
"413","7","1.15","1.2","15","150","true","15","1","1","5"
"415","7","1.15","1.2","15","150","true","19","1","44","66"
"417","7","1.15","1.2","15","150","true","16","1","7","15"
"420","7","1.15","1.2","15","150","true","16","1","9","18"
"418","7","1.15","1.2","15","150","true","17","1","11","22"
"414","7","1.15","1.2","15","150","true","24","0","108","120"
"421","7","1.15","1.2","15","150","true","23","1","48","76"
"416","7","1.15","1.2","15","150","true","23","1","79","112"
"419","7","1.15","1.2","15","150","true","22","1","91","121"
"422","7","1.15","1.2","15","150","true","20","0","7","7"
"426","7","1.15","1.2","15","150","true","16","1","8","14"
"428","7","1.15","1.2","15","150","true","16","1","6","17"
"424","7","1.15","1.2","15","150","true","20","1","66","92"
"425","7","1.15","1.2","15","150","true","21","1","94","120"
"423","7","1.15","1.2","15","150","true","24","1","95","121"
"429","7","1.15","1.2","15","150","true","24","1","117","135"
"427","7","1.15","1.2","15","150","true","21","1","62","105"
"430","7","1.15","1.2","15","150","true","18","1","43","60"
"433","7","1.15","1.2","15","150","true","16","1","6","18"
"432","7","1.15","1.2","15","150","true","18","1","23","43"
"435","7","1.15","1.2","15","150","true","19","1","38","55"
"436","7","1.15","1.2","15","150","true","15","1","1","10"
"431","7","1.15","1.2","15","150","true","21","1","95","115"
"434","7","1.15","1.2","15","150","true","24","1","122","142"
"437","7","1.15","1.2","15","150","true","16","1","7","20"
"438","7","1.15","1.2","15","150","true","26","1","68","93"
"439","7","1.15","1.2","15","150","true","20","1","56","86"
"440","7","1.15","1.2","15","150","true","17","1","14","28"
"442","7","1.15","1.2","15","150","true","17","1","12","23"
"444","7","1.15","1.2","15","150","true","25","1","129","145"
"441","7","1.15","1.2","15","150","true","21","1","18","32"
"447","7","1.15","1.2","15","150","true","15","1","1","7"
"446","7","1.15","1.2","15","150","true","23","1","125","144"
"445","7","1.15","1.2","15","150","true","23","1","124","143"
"448","7","1.15","1.2","15","150","true","24","1","95","132"
"443","7","1.15","1.2","15","150","true","21","1","88","121"
"451","7","1.15","1.2","15","150","true","22","1","89","123"
"452","7","1.15","1.2","15","150","true","19","1","42","66"
"450","7","1.15","1.2","15","150","true","23","1","108","135"
"449","7","1.15","1.2","15","150","true","20","1","56","84"
"454","7","1.15","1.2","15","150","true","22","1","82","100"
